,PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,"FT
FREQ%","TOV
FREQ%","SF
FREQ%","AND ONE
FREQ%","SCORE
FREQ%",PERCENTILE
2023-24,Shai Gilgeous-Alexander,OKC,21,6.2,24.2,1.27,7.9,3.1,5,61.9,65.2,13.1,8.5,9.2,2.3,60.8,76
2023-24,Jaylen Brown,BOS,20,6.5,29.1,1.13,7.3,2.8,5.4,52.3,59.3,12.4,7.8,11.6,3.1,52.7,50.3
2023-24,Donovan Mitchell,CLE,19,6.1,23.1,1.33,8.1,2.7,4.6,59.1,67.6,18.3,10.4,15.7,5.2,57.4,83.4
2023-24,Giannis Antetokounmpo,MIL,22,5.5,19.5,1.29,7,2.5,3.5,71.1,71.7,33.3,12.5,30,9.2,66.7,79.1
2023-24,LeBron James,LAL,22,5.5,23.9,1.22,6.6,2.3,3.4,68.9,76.4,20.8,20,19.2,2.5,59.2,68.2
2023-24,Kyle Kuzma,WAS,23,4.3,19.3,1.34,5.8,2.3,3.7,64.3,69,13,8,13,5,62,85.1
2023-24,Desmond Bane,MEM,22,4.6,19.6,1.29,6,2.2,3.9,57,66.9,10.8,7.8,9.8,2.9,55.9,79.4
2023-24,RJ Barrett,NYK,17,4.9,25.5,1.4,6.8,2.2,3.7,58.7,67.5,25.3,3.6,25.3,4.8,65.1,89.5
2023-24,Anthony Edwards,MIN,19,5.1,21,1.21,6.2,2.1,3.7,56.3,63.4,19.6,11.3,16.5,4.1,55.7,65.9
2023-24,OG Anunoby,TOR,20,3.7,24.8,1.49,5.5,2.1,3.2,66.7,77,13.5,4.1,12.2,2.7,66.2,94.6
2023-24,De'Aaron Fox,SAC,16,5.2,19.3,1.07,5.6,2.1,4.4,48.6,55.7,12,7.2,12,3.6,48.2,42.9
2023-24,Miles Bridges,CHA,12,3.5,19.3,1.38,4.8,2,2.8,70.6,75,11.9,9.5,11.9,2.4,66.7,88.8
2023-24,Jayson Tatum,BOS,21,3.6,14.5,1.35,4.9,1.9,2.8,67.2,74.1,17.1,9.2,14.5,2.6,65.8,86.1
2023-24,Kyrie Irving,DAL,17,3.8,17.9,1.3,4.9,1.9,3.3,58.9,70.5,4.7,10.9,4.7,3.1,53.1,80.1
2023-24,Devin Booker,PHX,14,4.4,17.7,1.31,5.8,1.9,3.3,58.7,64.1,21,9.7,17.7,4.8,59.7,81.8
2023-24,Jalen Johnson,ATL,15,4,31.7,1.05,4.2,1.9,3.1,60.9,63,6.7,18.3,6.7,1.7,51.7,39.1
2023-24,Pascal Siakam,TOR,24,4.5,21.7,1.16,5.2,1.8,2.8,63.6,64.4,29,18.7,27.1,9.3,57.9,56.4
2023-24,Tyrese Maxey,PHI,22,4,17.5,1.36,5.5,1.8,3.3,54.2,61.1,22.7,2.3,21.6,6.8,60.2,86.5
2023-24,Kawhi Leonard,LAC,23,3.9,19.1,1.22,4.8,1.8,3.4,52.6,59.6,15.6,5.6,15.6,7.8,52.2,70.2
2023-24,Franz Wagner,ORL,23,3.6,18,1.22,4.4,1.8,3.1,56.9,61.1,15.7,7.2,15.7,9.6,55.4,68.6
2023-24,Terry Rozier,CHA,13,4.8,21.5,1.06,5.1,1.8,3.5,52.2,57.6,16.1,12.9,16.1,3.2,50,41
2023-24,Julius Randle,NYK,22,3.7,15.7,1.2,4.5,1.7,2.6,63.8,71.6,14.6,15.9,14.6,1.2,57.3,62.7
2023-24,Zach LaVine,CHI,18,4.3,21.1,1.17,5.1,1.7,3.2,52.6,57,20.5,10.3,17.9,3.8,55.1,57.8
2023-24,Zion Williamson,NOP,19,2.6,12.2,1.5,3.9,1.7,2.1,82.1,82.1,22,8,20,8,76,94.9
2023-24,Bogdan Bogdanovic,ATL,23,3.5,23.1,1.28,4.5,1.6,3.2,50.7,65.1,6.2,4.9,6.2,1.2,50.6,78
2023-24,Luka Doncic,DAL,22,3.7,12.3,1.26,4.6,1.6,2.7,58.3,71.7,13.6,14.8,9.9,2.5,54.3,74.3
2023-24,Kevin Durant,PHX,19,3.7,13.4,1.3,4.8,1.6,2.6,63.3,68.4,24.3,12.9,24.3,7.1,61.4,81
2023-24,Saddiq Bey,ATL,23,3,25.4,1.27,3.8,1.6,2.7,59,65.6,11.6,5.8,11.6,5.8,56.5,77
2023-24,Bruce Brown,IND,21,3,25.6,1.36,4.1,1.6,2.4,66,74,17.5,9.5,17.5,6.3,63.5,86.8
2023-24,Obi Toppin,IND,21,2.9,29.8,1.28,3.7,1.6,2.4,64.7,70.6,9.8,11.5,8.2,4.9,59,77.7
2023-24,Cam Thomas,BKN,14,3.2,13.8,1.18,3.8,1.6,2.6,61.1,69.4,6.7,17.8,6.7,4.4,51.1,59.8
2023-24,Tyler Herro,MIA,8,4.1,18.2,1.15,4.8,1.6,3.6,44.8,55.2,12.1,3,12.1,3,48.5,55.1
2023-24,Bojan Bogdanovic,DET,5,5.4,29.7,0.85,4.6,1.6,4,40,45,18.5,11.1,18.5,3.7,44.4,12.8
2023-24,Tobias Harris,PHI,23,3.5,22.2,1.2,4.2,1.5,2.6,59.3,60.2,21.3,10,20,5,60,64.3
2023-24,Paul George,LAC,23,4.3,19.9,0.95,4,1.5,3.5,43.8,50.6,7.1,13.3,6.1,2,40.8,23.6
2023-24,Dejounte Murray,ATL,23,3.9,19.1,1.01,4,1.5,3,48.6,52.1,13.3,11.1,13.3,2.2,48.9,34.1
2023-24,Scottie Barnes,TOR,24,4,20.7,0.93,3.8,1.5,3,47.9,52.7,13.4,19.6,12.4,8.2,41.2,19.6
2023-24,Paolo Banchero,ORL,23,3.2,15,1.2,3.9,1.5,2.4,63.6,68.2,17.6,12.2,16.2,4.1,58.1,65.2
2023-24,Jalen Williams,OKC,19,3.8,23.2,1.15,4.4,1.5,2.7,54.9,58.8,18.1,13.9,16.7,2.8,54.2,55.4
2023-24,Lauri Markkanen,UTA,16,3.1,15.1,1.45,4.4,1.5,2.3,64.9,77,18.4,8.2,18.4,2,65.3,91.2
2023-24,Devin Vassell,SAS,18,3.3,20.3,1.17,3.9,1.5,2.9,50.9,63.2,5,8.3,5,1.7,48.3,57.8
2023-24,Herbert Jones,NOP,21,3,28.3,1.44,4.4,1.4,2,69.8,73.3,26.6,9.4,25,3.1,70.3,90.9
2023-24,Trae Young,ATL,21,4.1,14.8,1.06,4.3,1.4,3,46.9,50.8,18.6,11.6,15.1,4.7,48.8,40.2
2023-24,Jerami Grant,POR,19,3.4,15.9,1.34,4.6,1.4,2.3,60.5,68.6,29.2,9.2,27.7,4.6,63.1,84.8
2023-24,Mikal Bridges,BKN,23,2.9,13.6,1.27,3.7,1.4,2.4,57.1,66.1,10.4,9,10.4,3,55.2,75.7
2023-24,Victor Wembanyama,SAS,22,3.8,17.6,0.99,3.8,1.4,2.8,50.8,54.9,16.7,17.9,15.5,7.1,44,29.1
